"Title","Description","BiocVersion","Genome","SourceType","SourceVersion","Species","TaxonomyId","SourceUrl","DataProvider","Coordinate_1_based","Maintainer","RDataClass","DispatchClass","RDataPath","Tags","Notes"
"Race interaction models developed on TCGA-PRAD cohort","Race interaction models constructed on TCGA-PRAD cohortconsisting of models for 25,034 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/PRAD.Rda","","Original Release"
"Race interaction models developed on TCGA-KIRC cohort","Race interaction models constructed on TCGA-KIRC cohortconsisting of models for 25,007 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/KIRC.Rda","","Original Release"
"Race interaction models developed on TCGA-HNSC cohort","Race interaction models constructed on TCGA-HNSC cohortconsisting of models for 23,306 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/HNSC.Rda","","Original Release"
"Race interaction models developed on TCGA-LUAD cohort","Race interaction models constructed on TCGA-LUAD cohortconsisting of models for 24,850 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/LUAD.Rda","","Original Release"
"Race interaction models developed on TCGA-UCEC cohort","Race interaction models constructed on TCGA-UCEC cohortconsisting of models for 22,927 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/UCEC.Rda","","Original Release"
"Race interaction models developed on TCGA-BRCA cohort","Race interaction models constructed on TCGA-BRCA cohortconsisting of models for 24,832 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/BRCA.Rda","","Original Release"
"Race interaction models developed on TCGA-KIRP cohort","Race interaction models constructed on TCGA-KIRP cohortconsisting of models for 23,659 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/KIRP.Rda","","Original Release"
"Race interaction models developed on TCGA-COAD cohort","Race interaction models constructed on TCGA-COAD cohortconsisting of models for 23,034 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/COAD.Rda","","Original Release"
"African American specific models developed on TCGA-BRCA cohort","African American specific models developed on TCGA-BRCA cohortconsisting of models for 17,632 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/BRCAaa.Rda","","Original Release"
"African American specific models developed on TCGA-KIRC cohort","African American specific models developed on TCGA-KIRC cohortconsisting of models for 14,301 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/KIRCaa.Rda","","Original Release"
"African American specific models developed on TCGA-HNSC cohort","African American specific models developed on TCGA-HNSC cohortconsisting of models for 12,538 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/HNSCaa.Rda","","Original Release"
"African American specific models developed on TCGA-LUAD cohort","African American specific models developed on TCGA-LUAD cohortconsisting of models for 14,965 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/LUADaa.Rda","","Original Release"
"African American specific models developed on TCGA-UCEC cohort","African American specific models developed on TCGA-UCEC cohortconsisting of models for 20,919 genes","3.13","hg38","RDA","Apr 27 2021","Homo sapiens",9606,"https://bioconductor.org/packages/release/bioc/html/TCGAbiolinks.html","TCGAbiolinks",NA,"Ian Loveless ilovele1@hfhs.org","list","Rda","EpiXprSData/UCECaa.Rda","","Original Release"
